54,21
57,23
60,24
58,22
51,18
54,16
42,17
25,10
30,12
42,13
33,10
37,16
22,11
10,16
41,10
26,18
26,17
47,22
43,22
37,15
53,18
20,19
30,16
20,13
26,12
41,13
10,9
40,13
34,17
30,9
33,15
16,13
40,20
19,16
10,16
23,15
35,14
35,11
28,11
21,18
13,13
24,10
17,10
23,14
21,12
41,14
13,7
10,13
18,15
60,20
48,18
21,12
8,12
12,16
28,10
22,17
22,11
0,0
14,15
33,12
33,11
33,15
0,0
0,0
20,16
14,15
54,14
22,15
15,13
18,7
14,15
26,18
15,9
26,13
0,0
37,16
24,11
1,5
10,15
2,7
0,0
21,12
18,16
20,13
0,0
36,17
27,14
46,19
50,17
47,17
5,16
42,16
26,7
26,11
41,19
28,14
34,13
20,16
0,0
59,22
28,15
27,15
18,7
26,13
15,11
0,0
5,13
26,7
15,14
4,16
10,12
23,14
0,0
13,11
0,0
0,0
21,10
4,9
58,22
20,11
2,10
24,13
31,15
23,10
