50,13
60,20
64,13
50,21
54,22
55,18
48,18
25,15
29,13
54,17
35,13
43,17
22,12
25,13
13,11
34,15
21,12
52,15
48,13
46,13
48,12
41,17
35,11
21,8
26,13
34,13
25,8
38,11
37,12
33,12
48,12
31,8
54,15
29,12
41,17
25,11
31,12
29,11
22,8
25,13
24,11
29,11
25,11
35,10
25,11
29,11
11,5
5,13
25,15
51,15
44,20
18,8
12,12
23,8
0,0
37,15
20,11
0,0
22,11
32,11
40,14
37,13
0,0
40,11
27,13
29,11
48,12
33,12
5,11
22,11
23,11
34,15
29,11
18,13
0,0
38,13
25,15
11,7
20,8
8,7
0,0
26,11
20,13
22,8
0,0
36,12
17,14
62,15
47,17
56,15
11,12
34,15
27,10
38,11
42,15
31,12
30,14
26,12
0,0
45,17
20,13
33,12
18,8
30,12
0,0
0,0
5,11
24,10
5,11
15,11
5,12
40,15
0,0
15,8
0,0
0,0
32,12
5,11
60,17
25,11
15,10
5,10
42,18
24,11
