56,14
60,12
63,21
60,13
50,14
60,13
48,15
30,10
25,11
46,14
38,6
46,17
25,9
25,10
11,16
21,13
10,11
47,12
50,19
25,8
54,18
18,15
33,18
28,9
27,10
38,10
27,9
41,11
26,13
20,8
41,6
16,7
36,11
28,11
32,15
10,9
31,6
37,11
17,7
25,5
17,8
20,2
23,10
25,9
21,8
17,8
10,3
4,10
14,19
51,15
54,13
14,5
6,12
18,2
32,8
30,11
20,7
0,0
13,8
31,4
32,11
43,10
0,0
0,0
18,9
29,4
31,16
32,11
2,6
25,9
20,8
25,9
28,7
21,12
0,0
54,12
11,7
12,9
11,11
3,6
0,0
10,4
22,11
12,11
0,0
30,7
25,11
57,14
49,13
51,12
4,12
36,12
24,9
35,12
44,16
32,8
27,11
25,8
0,0
48,17
27,6
35,12
11,11
12,10
26,10
0,0
3,8
23,10
4,10
10,10
0,9
40,11
0,0
12,6
0,0
0,0
27,6
4,8
50,16
28,8
3,7
10,11
32,15
17,8
