66,15
67,27
69,24
47,21
59,20
66,21
62,17
25,14
38,12
69,13
45,15
50,19
35,16
20,11
12,21
26,22
24,13
64,20
49,18
34,13
65,20
15,18
55,17
16,23
39,14
55,15
26,14
56,20
26,15
30,15
30,16
26,23
43,20
26,15
56,19
9,14
32,22
41,19
33,18
21,13
25,14
21,15
12,20
37,14
22,15
28,12
18,15
38,13
16,15
65,23
66,18
20,8
19,22
14,19
24,21
40,12
29,15
0,0
17,11
29,19
66,19
53,18
0,0
0,0
25,10
24,14
21,14
28,15
12,15
14,20
20,13
27,14
19,22
12,19
0,0
55,16
21,17
27,17
24,13
9,15
0,0
24,16
30,23
21,14
0,0
56,17
45,21
65,23
35,15
32,14
16,17
34,14
33,15
36,14
63,15
27,18
47,15
36,14
0,0
54,17
19,12
60,18
6,12
38,16
26,15
0,0
18,16
29,17
25,14
10,17
16,15
38,17
0,0
16,17
0,0
0,0
43,21
9,17
60,20
22,15
14,19
19,14
26,12
24,16
